A/meuse/geom,A/meuse/gid,A/meuse/cadmium,A/meuse/soil,A/meuse/om,A/meuse/lead,A/meuse/copper
0101000020E6100000C40B2252D36EF33F00000000000030C0,1,11.699999999999999,1,13.600000000000000,299.000000000000000,85.000000000000000
0101000020E6100000000000000819064100000000008043C0,2,8.600000000000000,1,14.000000000000000,277.000000000000000,81.000000000000000
0101000020E610000000000000681D0641000000000000F0BF,3,6.500000000000000,1,13.000000000000000,199.000000000000000,68.000000000000000
0101000020E610000000000000902106410000000000C05240,4,2.600000000000000,2,8.000000000000000,116.000000000000000,81.000000000000000
0101000020E610000000000000D82106410000000000000000,5,2.800000000000000,2,8.699999999999999,117.000000000000000,48.000000000000000
0101000020E6100000000000007024064100000000004054C0,6,3.000000000000000,2,7.800000000000000,137.000000000000000,61.000000000000000
0101000020E610000000000000681D064100000000004056C0,7,3.200000000000000,2,9.199999999999999,132.000000000000000,31.000000000000000
0101000020E6100000000000001819064100000000000041C0,8,2.800000000000000,1,9.500000000000000,150.000000000000000,29.000000000000000
0101000020E610000000000000201A06410000000000804E40,9,2.400000000000000,1,10.600000000000000,133.000000000000000,37.000000000000000
0101000020E610000000000000801F06410000000000804640,10,1.600000000000000,2,6.300000000000000,80.000000000000000,24.000000000000000
0101000020E610000000000000381E06410000000000804B40,11,1.400000000000000,2,6.400000000000000,86.000000000000000,25.000000000000000
0101000020E6100000000000004019064100000000000030C0,12,1.800000000000000,1,9.000000000000000,97.000000000000000,25.000000000000000
0101000020E610000000000000501406410000000000003FC0,13,11.199999999999999,1,15.400000000000000,285.000000000000000,93.000000000000000
0101000020E6100000000000004817064100000000004056C0,14,2.500000000000000,1,8.400000000000000,183.000000000000000,31.000000000000000
0101000020E610000000000000981806410000000000004EC0,15,2.000000000000000,1,9.100000000000000,130.000000000000000,27.000000000000000
0101000020E610000000000000F012064100000000000045C0,16,9.500000000000000,1,16.199999999999999,240.000000000000000,86.000000000000000
0101000020E610000000000000D810064100000000008046C0,17,7.000000000000000,1,16.000000000000000,133.000000000000000,74.000000000000000
0101000020E610000000000000B00E06410000000000004FC0,18,7.100000000000000,1,16.000000000000000,148.000000000000000,69.000000000000000
0101000020E610000000000000880C064100000000008055C0,19,8.699999999999999,1,13.699999999999999,207.000000000000000,69.000000000000000
0101000020E610000000000000580A06410000000000003840,20,12.900000000000000,1,14.800000000000001,284.000000000000000,95.000000000000000
0101000020E610000000000000100D064100000000000044C0,21,5.500000000000000,1,10.199999999999999,194.000000000000000,53.000000000000000
0101000020E610000000000000000F06410000000000004440,22,2.800000000000000,1,7.200000000000000,123.000000000000000,35.000000000000000
0101000020E610000000000000000F06410000000000C053C0,23,2.900000000000000,1,7.200000000000000,110.000000000000000,35.000000000000000
0101000020E610000000000000081D06410000000000002CC0,24,1.700000000000000,2,7.000000000000000,85.000000000000000,24.000000000000000
0101000020E610000000000000D81C064100000000008046C0,25,1.400000000000000,2,6.900000000000000,75.000000000000000,26.000000000000000
0101000020E610000000000000781D06410000000000405140,26,1.500000000000000,2,6.300000000000000,76.000000000000000,22.000000000000000
0101000020E6100000000000008018064100000000008053C0,27,1.300000000000000,2,5.600000000000000,73.000000000000000,27.000000000000000
0101000020E6100000000000006817064100000000000052C0,28,1.300000000000000,2,4.400000000000000,67.000000000000000,24.000000000000000
0101000020E610000000000000A01506410000000000804840,29,1.800000000000000,2,5.300000000000000,87.000000000000000,22.000000000000000
0101000020E61000000000000040230641000000000000F0BF,30,1.500000000000000,2,4.800000000000000,65.000000000000000,21.000000000000000
0101000020E610000000000000681C064100000000008052C0,31,1.300000000000000,2,2.600000000000000,78.000000000000000,29.000000000000000
0101000020E6100000000000007014064100000000000040C0,32,1.300000000000000,2,1.000000000000000,64.000000000000000,21.000000000000000
0101000020E610000000000000E81206410000000000804CC0,33,2.100000000000000,2,2.400000000000000,77.000000000000000,27.000000000000000
0101000020E610000000000000D01606410000000000003EC0,34,1.200000000000000,2,1.900000000000000,80.000000000000000,26.000000000000000
0101000020E610000000000000E016064100000000004050C0,35,1.600000000000000,2,3.100000000000000,82.000000000000000,27.000000000000000
0101000020E610000000000000300F0641000000000000F03F,36,3.000000000000000,2,1.600000000000000,97.000000000000000,32.000000000000000
0101000020E610000000000000C00C0641000000000000F0BF,37,5.800000000000000,2,3.500000000000000,166.000000000000000,50.000000000000000
0101000020E6100000000000009009064100000000000000C0,38,7.900000000000000,1,8.100000000000000,217.000000000000000,67.000000000000000
0101000020E610000000000000F00706410000000000003FC0,39,8.100000000000000,1,7.900000000000000,219.000000000000000,77.000000000000000
0101000020E610000000000000F80406410000000000002CC0,40,14.100000000000000,1,9.500000000000000,405.000000000000000,108.000000000000000
0101000020E61000000000000070080641000000000000F0BF,41,2.400000000000000,2,1.400000000000000,102.000000000000000,32.000000000000000
0101000020E610000000000000880A064100000000008043C0,42,1.200000000000000,2,,48.000000000000000,21.000000000000000
0101000020E610000000000000180706410000000000805140,43,1.700000000000000,2,,65.000000000000000,22.000000000000000
0101000020E610000000000000D00506410000000000004740,44,1.300000000000000,2,2.000000000000000,62.000000000000000,21.000000000000000
0101000020E610000000000000180406410000000000804040,45,4.200000000000000,2,5.100000000000000,281.000000000000000,51.000000000000000
0101000020E610000000000000200206410000000000003640,46,4.300000000000000,2,5.300000000000000,294.000000000000000,50.000000000000000
0101000020E610000000000000D80106410000000000805540,47,3.100000000000000,2,4.500000000000000,211.000000000000000,38.000000000000000
0101000020E610000000000000D00106410000000000000040,48,1.700000000000000,2,4.900000000000000,135.000000000000000,26.000000000000000
0101000020E610000000000000700106410000000000805440,49,1.700000000000000,2,4.500000000000000,112.000000000000000,24.000000000000000
0101000020E61000000000000038FF05410000000000003F40,50,2.100000000000000,2,5.500000000000000,162.000000000000000,32.000000000000000
0101000020E61000000000000038FD05410000000000804240,51,1.700000000000000,2,3.400000000000000,94.000000000000000,24.000000000000000
0101000020E610000000000000680006410000000000804140,52,8.199999999999999,1,11.100000000000000,191.000000000000000,47.000000000000000
0101000020E61000000000000038FC05410000000000003CC0,53,17.000000000000000,1,12.300000000000001,405.000000000000000,128.000000000000000
0101000020E61000000000000028F805410000000000003BC0,54,12.000000000000000,1,16.500000000000000,654.000000000000000,117.000000000000000
0101000020E61000000000000090F305410000000000002E40,55,9.400000000000000,1,13.900000000000000,482.000000000000000,104.000000000000000
0101000020E61000000000000038EF05410000000000004640,56,8.199999999999999,1,8.100000000000000,276.000000000000000,76.000000000000000
0101000020E61000000000000080F205410000000000004A40,57,2.600000000000000,1,3.100000000000000,180.000000000000000,36.000000000000000
0101000020E610000000000000F0F5054100000000008049C0,58,3.500000000000000,1,5.800000000000000,207.000000000000000,34.000000000000000
0101000020E61000000000000020FC05410000000000004FC0,59,10.900000000000000,1,10.199999999999999,541.000000000000000,90.000000000000000
0101000020E610000000000000A0EC054100000000008055C0,60,7.300000000000000,1,12.000000000000000,310.000000000000000,80.000000000000000
0101000020E61000000000000030EA054100000000008052C0,61,9.400000000000000,1,14.100000000000000,210.000000000000000,78.000000000000000
0101000020E61000000000000038E905410000000000C05340,62,8.300000000000001,1,14.500000000000000,158.000000000000000,77.000000000000000
0101000020E61000000000000008E9054100000000000030C0,63,7.000000000000000,1,14.800000000000001,141.000000000000000,65.000000000000000
0101000020E610000000000000B0E605410000000000002CC0,64,6.800000000000000,1,13.300000000000001,144.000000000000000,66.000000000000000
0101000020E61000000000000030E405410000000000004340,65,7.400000000000000,1,15.199999999999999,181.000000000000000,72.000000000000000
0101000020E610000000000000B8E105410000000000804140,66,6.600000000000000,1,11.400000000000000,173.000000000000000,75.000000000000000
0101000020E61000000000000070E8054100000000000008C0,67,7.800000000000000,1,9.000000000000000,399.000000000000000,75.000000000000000
0101000020E61000000000000060EF05410000000000000840,68,0.700000000000000,1,3.600000000000000,45.000000000000000,22.000000000000000
0101000020E61000000000000060F4054100000000000050C0,69,3.400000000000000,1,6.900000000000000,325.000000000000000,55.000000000000000
0101000020E61000000000000020DE054100000000004055C0,70,3.900000000000000,1,7.000000000000000,268.000000000000000,47.000000000000000
0101000020E610000000000000C0DD054100000000000052C0,71,3.500000000000000,1,6.200000000000000,252.000000000000000,46.000000000000000
0101000020E610000000000000C8DB05410000000000005440,72,4.700000000000000,1,6.500000000000000,315.000000000000000,55.000000000000000
0101000020E610000000000000F8D905410000000000805040,73,3.900000000000000,1,5.700000000000000,260.000000000000000,49.000000000000000
0101000020E61000000000000030DD05410000000000004A40,74,3.100000000000000,1,7.000000000000000,237.000000000000000,39.000000000000000
0101000020E610000000000000C0DA05410000000000804FC0,75,2.900000000000000,1,7.300000000000000,228.000000000000000,45.000000000000000
0101000020E610000000000000B8DC054100000000000040C0,76,3.900000000000000,1,8.199999999999999,241.000000000000000,48.000000000000000
0101000020E61000000000000090DB05410000000000804040,77,2.700000000000000,1,4.300000000000000,201.000000000000000,36.000000000000000
0101000020E610000000000000D0D305410000000000804340,78,2.500000000000000,1,4.400000000000000,204.000000000000000,36.000000000000000
0101000020E61000000000000000D705410000000000003AC0,79,5.600000000000000,1,8.199999999999999,429.000000000000000,68.000000000000000
0101000020E61000000000000028D905410000000000805340,80,9.400000000000000,1,8.500000000000000,462.000000000000000,88.000000000000000
0101000020E61000000000000020DC05410000000000804840,81,10.800000000000001,1,9.600000000000000,333.000000000000000,85.000000000000000
0101000020E610000000000000B8FD05410000000000005340,82,18.100000000000001,1,17.000000000000000,464.000000000000000,76.000000000000000
0101000020E61000000000000058E005410000000000001840,83,6.300000000000000,1,12.800000000000001,159.000000000000000,63.000000000000000
0101000020E610000000000000F01B06410000000000003E40,84,2.100000000000000,2,5.900000000000000,116.000000000000000,32.000000000000000
0101000020E61000000000000090E805410000000000004440,85,1.800000000000000,2,2.900000000000000,81.000000000000000,25.000000000000000
0101000020E61000000000000038EB05410000000000004E40,86,2.200000000000000,1,4.500000000000000,131.000000000000000,27.000000000000000
